p1	decomp_region_6:	0
p1	decomp_region_5:	1
p1	decomp_region_8:	2
p1	decomp_region_7:	3
p1	decomp_region_9:	4
p1	decomp_region_0:	5
p1	target_region_1:	6
p1	decomp_region_10:	7
p1	target_region_0:	8
p1	decomp_region_2:	9
p1	decomp_region_1:	10
p1	decomp_region_4:	11
p1	decomp_region_3:	12
p1	decomp_region_7	decomp_region_6	24
p1	target_region_0	decomp_region_9	42
p1	decomp_region_9	decomp_region_6	26
p1	target_region_0	decomp_region_6	36
p1	decomp_region_10	decomp_region_4	18
p1	decomp_region_9	decomp_region_0	4
p1	decomp_region_1	decomp_region_2	5
p1	decomp_region_1	decomp_region_6	7
p1	decomp_region_8	target_region_0	39
p1	decomp_region_4	decomp_region_3	14
p1	decomp_region_10	decomp_region_5	22
p1	target_region_0	decomp_region_8	40
p1	decomp_region_8	decomp_region_0	2
p1	decomp_region_2	decomp_region_7	11
p1	target_region_1	decomp_region_5	34
p1	decomp_region_5	target_region_1	33
p1	decomp_region_5	decomp_region_7	19
p1	decomp_region_6	decomp_region_7	23
p1	decomp_region_7	target_region_1	37
p1	target_region_1	decomp_region_10	44
p1	decomp_region_6	decomp_region_1	8
p1	target_region_1	decomp_region_3	32
p1	decomp_region_7	decomp_region_2	12
p1	target_region_1	decomp_region_7	38
p1	decomp_region_10	target_region_1	43
p1	decomp_region_2	decomp_region_1	6
p1	decomp_region_3	decomp_region_4	13
p1	decomp_region_4	decomp_region_10	17
p1	decomp_region_0	decomp_region_8	1
p1	decomp_region_3	target_region_1	31
p1	target_region_0	decomp_region_0	30
p1	decomp_region_2	decomp_region_3	9
p1	decomp_region_0	decomp_region_9	3
p1	decomp_region_3	decomp_region_2	10
p1	decomp_region_7	decomp_region_5	20
p1	decomp_region_7	decomp_region_8	27
p1	decomp_region_7	decomp_region_3	16
p1	decomp_region_9	target_region_0	41
p1	decomp_region_0	target_region_0	29
p1	decomp_region_8	decomp_region_7	28
p1	decomp_region_6	decomp_region_9	25
p1	decomp_region_5	decomp_region_10	21
p1	decomp_region_3	decomp_region_7	15
p1	decomp_region_6	target_region_0	35
